"","KNN9_5","KNN9_4","KNN9_6","KNN8_5"
"1",0.760061853013187,0.738529879773692,0.762469547377869,0.764340705561649
"2",0.756536035503594,0.737348491550916,0.758930201097285,0.753970651704791
"3",0.763831014808642,0.739250719190539,0.75956906932737,0.760237178731115
"4",0.759099529621018,0.738186292441222,0.760328807056277,0.758246005840921
"5",0.753729170037211,0.731422955799254,0.755505230238326,0.757060571281468
"6",0.762947718621043,0.738318067538681,0.759546078599623,0.760095571769899
"7",0.756850532849154,0.73320777006319,0.753807079167792,0.76081419490165
"8",0.764940579060786,0.735232337152828,0.760995779505967,0.760044342557016
"9",0.759739564370007,0.736256784204042,0.759251514664093,0.756205101733557
"10",0.755220430165606,0.736898099407104,0.75511544050374,0.757532961761123
