"","KNN10_5","KNN10_4","KNN10_6","KNN9_5","KNN11_5"
"1",0.758819866440489,0.739099672769081,0.761986209845529,0.760061853013187,0.756601904105458
"2",0.755876683859713,0.734772449093135,0.760302433173406,0.756536035503594,0.757132540768924
"3",0.761137673950946,0.738701425264953,0.760637557670281,0.763831014808642,0.758693180599352
"4",0.756868309041661,0.736634671803558,0.759187880479713,0.759099529621018,0.758170636155803
"5",0.75558711815531,0.738662490420179,0.75631588562095,0.753729170037211,0.753313529570618
"6",0.756667884545122,0.734987350761173,0.756837437048332,0.762947718621043,0.75732851752717
"7",0.755768009215895,0.734699319969776,0.75534983853606,0.756850532849154,0.757656214728741
"8",0.760075951811365,0.739935409662007,0.758118869260984,0.764940579060786,0.757621264454122
"9",0.757496235749623,0.735707518252243,0.758910843270046,0.759739564370007,0.760099739948418
"10",0.752916293474625,0.737536673124827,0.754275835989412,0.755220430165606,0.755411628007058
